Posição,Nome,Partido,Votos
1,MARÇAL FILHO,PSDB,60418
2,ALAN GUEDES,PP,34027
3,TIAGO BOTELHO,PT,17845
4,BELA BARROS,PDT,5476
5,RACIB HARB,NOVO,2455
6,BETO TELES,REDE,377
7,VALDERI GARCIA,PCO,117
