Posição,Nome,Partido,Votos
1,EDUARDO CAMPOS,PSDB,26473
2,POMPILIO JÚNIOR,PL,15195
3,CARLOS BERNARDO,PDT,8168
4,ÁLVARO SOARES,PODE,1314
