Posição,Nome,Partido,Votos
1,ADRIANE LOPES,PP,140913
2,ROSE MODESTO,UNIÃO,131525
3,BETO PEREIRA,PSDB,115516
4,CAMILA JARA,PT,41966
5,BETO FIGUEIRÓ,NOVO,10885
6,LUSO DE QUEIROZ,PSOL,3108
7,UBIRAJARA MARTINS,DC,1067
